cluster_final,macro_tag_entropy,raw_tag_entropy,macro_tag_unique,raw_tag_unique
0,2.557333410549927,4.766165981535913,25,92
1,3.531786387904542,4.920213886293593,26,88
2,2.598338103101745,3.9774230416675165,25,76
3,3.6507001452720944,4.7327056518118615,26,80
4,3.7720986202848965,5.05716477650327,24,78
5,1.5689270926759802,2.634356197304567,20,47
6,2.6738429702987703,3.6103913143301134,25,49
7,2.6343328790642353,5.247161271312126,21,71
8,1.6754776318807691,2.2420437479529967,22,39
9,3.0542214945120403,4.356705761583037,21,49
10,3.2883463382253644,4.748824869674034,23,63
11,2.870134276380511,3.997887243058692,21,49
12,2.6152897762331357,4.410566531402332,19,49
13,3.66528388415653,4.723967366859757,26,57
14,3.345126808908746,4.433752582410081,23,57
15,2.1598783551097496,2.8155171666970533,15,32
16,1.9654004328053152,3.469106290701001,17,38
17,2.458942268698,4.033580965871751,19,41
18,2.202529337407974,3.082073274645029,13,28
19,2.547618735786334,3.3470982481576534,18,33
