cluster_final,size,share
0,711,0.12906153566890544
1,530,0.09620620802323471
2,522,0.09475403884552551
3,457,0.08295516427663822
4,361,0.0655291341441278
5,320,0.058086767108368124
6,247,0.04483572336177165
7,241,0.043746596478489747
8,222,0.040297694681430386
9,220,0.03993465238700308
10,219,0.039753131239789435
11,215,0.03902704665093484
12,198,0.03594118714830278
13,198,0.03594118714830278
14,173,0.03140315846796152
15,165,0.029950989290252316
16,139,0.025231439462697403
17,138,0.025049918315483755
18,120,0.021782537665638046
19,113,0.020511889635142493
